timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769049548853,277,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,788,169,5,5,http://4.156.9.169/api/vet/vets,277,0,0
1769049549627,139,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,419,178,5,5,http://4.156.9.169/api/customer/owners/4,138,0,0
1769049549612,1284,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,7072,176,5,5,http://4.156.9.169/api/customer/owners,1284,0,0
1769049551078,226,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-3,text,true,,210,190,5,5,http://4.156.9.169/api/visit/owners/*/pets/13/visits,226,0,0
1769049551138,271,GET /api/gateway/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,374,177,5,5,http://4.156.9.169/api/gateway/owners/5,270,0,0
1769049551712,412,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-5,text,true,,234,276,5,5,http://4.156.9.169/api/customer/owners/10/pets,412,0,0
1769049552120,982,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,7156,176,5,5,http://4.156.9.169/api/customer/owners,978,0,0
1769049553087,164,POST /api/customer/owners,201,Created,Petclinic Load Test 1-4,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,164,0,0
1769049553117,184,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,670,179,5,5,http://4.156.9.169/api/customer/owners/10,183,0,0
1769049553493,227,POST /api/customer/owners,201,Created,Petclinic Load Test 1-3,text,true,,268,343,5,5,http://4.156.9.169/api/customer/owners,227,0,0
1769049553633,335,GET /api/vet/vets,200,OK,Petclinic Load Test 1-5,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,335,0,0
1769049554272,162,POST /api/visit/owners/*/pets/{petId}/visits,201,Created,Petclinic Load Test 1-4,text,true,,212,284,5,5,http://4.156.9.169/api/visit/owners/*/pets/1/visits,162,0,0
1769049555951,270,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-1,text,true,,420,178,5,5,http://4.156.9.169/api/customer/owners/5,270,0,0
1769049555314,1058,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,7430,176,5,5,http://4.156.9.169/api/customer/owners,1046,0,0
1769049556559,135,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-4,text,true,,259,189,5,5,http://4.156.9.169/api/visit/owners/*/pets/8/visits,135,0,0
1769049556684,277,GET /api/vet/vets,200,OK,Petclinic Load Test 1-5,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,277,0,0
1769049556684,1038,GET /api/customer/owners,200,OK,Petclinic Load Test 1-3,text,true,,7430,176,5,5,http://4.156.9.169/api/customer/owners,1037,0,0
1769049557710,359,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-1,text,true,,231,275,5,5,http://4.156.9.169/api/customer/owners/5/pets,359,0,0
1769049558363,195,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-2,text,true,,498,178,5,5,http://4.156.9.169/api/customer/owners/7,195,0,0
1769049558784,158,POST /api/customer/owners,201,Created,Petclinic Load Test 1-4,text,true,,267,342,5,5,http://4.156.9.169/api/customer/owners,158,0,0
1769049558673,1022,GET /api/customer/owners,200,OK,Petclinic Load Test 1-5,text,true,,7517,176,5,5,http://4.156.9.169/api/customer/owners,1020,0,0
1769049559778,273,GET /api/vet/vets,200,OK,Petclinic Load Test 1-1,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,273,0,0
1769049560308,84,GET /api/visit/owners/*/pets/{petId}/visits,200,OK,Petclinic Load Test 1-4,text,true,,128,190,5,5,http://4.156.9.169/api/visit/owners/*/pets/10/visits,84,0,0
1769049560293,152,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-3,text,true,,419,178,5,5,http://4.156.9.169/api/customer/owners/4,152,0,0
1769049560889,127,GET /api/customer/owners/{ownerId},200,OK,Petclinic Load Test 1-5,text,true,,418,178,5,5,http://4.156.9.169/api/customer/owners/8,127,0,0
1769049561027,1050,GET /api/customer/owners,200,OK,Petclinic Load Test 1-2,text,true,,7647,176,5,5,http://4.156.9.169/api/customer/owners,1050,0,0
1769049562178,180,GET /api/gateway/owners/{ownerId},200,OK,Petclinic Load Test 1-4,text,true,,457,177,5,5,http://4.156.9.169/api/gateway/owners/7,180,0,0
1769049562162,274,GET /api/vet/vets,200,OK,Petclinic Load Test 1-3,text,true,,781,169,5,5,http://4.156.9.169/api/vet/vets,274,0,0
1769049561168,1288,GET /api/customer/owners,200,OK,Petclinic Load Test 1-1,text,true,,7654,176,5,5,http://4.156.9.169/api/customer/owners,1287,0,0
1769049563096,293,POST /api/customer/owners/{ownerId}/pets,201,Created,Petclinic Load Test 1-5,text,true,,231,275,5,5,http://4.156.9.169/api/customer/owners/8/pets,293,0,0
